"COMER","TNCC","NCC","NCCENR","LIBELLE","DATE_DEBUT","DATE_FIN"
"90bis","0","SARRE","Sarre","Sarre","1947-12-17","1957-01-01"
"95","0","MAROC","Maroc","Maroc","1943-01-01","1956-03-02"
"96","0","TUNISIE","Tunisie","Tunisie","1943-01-01","1956-03-20"
"975","0","SAINT PIERRE ET MIQUELON","Saint-Pierre-et-Miquelon","Saint-Pierre-et-Miquelon","1985-06-15",""
"976","0","MAYOTTE","Mayotte","Mayotte","2007-02-23","2011-03-31"
"977","0","SAINT BARTHELEMY","Saint-Barthélemy","Saint-Barthélemy","2007-02-23",""
"978","0","SAINT MARTIN","Saint-Martin","Saint-Martin","2007-02-23",""
"981","0","ILE DES FAISANS","Île des Faisans","Île des Faisans","1943-01-01",""
"98201","0","MAURITANIE","Mauritanie","Mauritanie","1943-01-01","1960-11-28"
"98202","0","SENEGAL ET CIRCONSCRIPTION DE DAKAR","Sénégal et circonscription de Dakar","Sénégal et circonscription de Dakar","1943-01-01","1960-06-22"
"98203","0","GUINEE FRANCAISE","Guinée française","Guinée française","1943-01-01","1958-10-02"
"98204","0","COTE D IVOIRE","Côte d’Ivoire","Côte d’Ivoire","1943-01-01","1960-08-07"
"98205","0","DAHOMEY","Dahomey","Dahomey","1943-01-01","1960-08-01"
"98206","0","SOUDAN FRANCAIS","Soudan français","Soudan français","1943-01-01","1960-06-22"
"98207","0","NIGER","Niger","Niger","1943-01-01","1960-08-03"
"98208","0","TOGO","Togo","Togo","1943-01-01","1960-04-27"
"98209","0","HAUTE VOLTA","Haute-Volta","Haute-Volta","1947-09-06","1960-08-05"
"98301","0","GABON","Gabon","Gabon","1943-01-01","1960-08-17"
"98302","0","MOYEN CONGO","Moyen Congo","Moyen Congo","1943-01-01","1960-08-15"
"98303","0","OUBANGUI CHARI","Oubangui-Chari","Oubangui-Chari","1943-01-01","1960-08-13"
"98304","0","TCHAD","Tchad","Tchad","1943-01-01","1960-08-11"
"98305","0","CAMEROUN","Cameroun","Cameroun","1943-01-01","1961-10-01"
"98306","0","TERRITOIRE DU FEZZAN","Territoire du Fezzan","Territoire du Fezzan","1943-01-01","1951-12-24"
"984","0","TERRES AUSTRALES ET ANTARCTIQUES FRANCAISES","Terres australes et antarctiques françaises","Terres australes et antarctiques françaises","2007-02-23",""
"98401","0","MADAGASCAR","Madagascar","Madagascar","1943-01-01","1960-06-26"
"98402","0","COMORES","Comores","Comores","1943-01-01","1975-07-06"
"98402","0","MAYOTTE","Mayotte","Mayotte","1975-07-06","1977-05-20"
"98403","0","ILES DE L OCEAN INDIEN","Îles de l’océan Indien","Îles de l’océan Indien","1943-01-01","1960-06-26"
"98403","0","ILES EPARSES DE L OCEAN INDIEN","Îles Éparses de l’océan Indien","Îles Éparses de l’océan Indien","1960-06-26","2007-02-23"
"98404","0","ILES DE L OCEAN AUSTRAL","Îles de l’océan austral","Îles de l’océan austral","1943-01-01","1955-08-10"
"98404","0","TERRES AUSTRALES ET ANTARCTIQUES FRANCAISES","Terres australes et antarctiques françaises","Terres australes et antarctiques françaises","1955-08-10","2007-02-23"
"98405","0","LA REUNION","La Réunion","La Réunion","1943-01-01","1946-03-21"
"98406","0","COTE FRANCAISE DES SOMALIS","Côte française des Somalis","Côte française des Somalis","1943-01-01","1967-07-03"
"98406","0","TERRITOIRE FRANCAIS DES AFARS ET DES ISSAS","Territoire français des Afars et des Issas","Territoire français des Afars et des Issas","1967-07-03","1977-06-27"
"985","0","MAYOTTE","Mayotte","Mayotte","1977-05-20","2007-02-23"
"98501","0","ETABLISSEMENTS FRANCAIS DE L INDE","Établissements français de l’Inde","Établissements français de l’Inde","1943-01-01","1954-11-01"
"98502","0","ANNAM","Annam","Annam","1943-01-01","1954-07-20"
"98503","0","CAMBODGE","Cambodge","Cambodge","1943-01-01","1953-11-09"
"98504","0","COCHINCHINE","Cochinchine","Cochinchine","1943-01-01","1954-07-20"
"98505","0","LAOS","Laos","Laos","1943-01-01","1953-10-22"
"98506","0","TONKIN","Tonkin","Tonkin","1943-01-01","1954-07-20"
"98507","0","KOUANG TCHEOU WAN","Kouang-Tchéou-Wan","Kouang-Tchéou-Wan","1943-01-01","1946-02-28"
"98508","0","SHANGHAI","Shanghaï","Shanghaï","1943-01-01","1946-02-28"
"986","0","WALLIS ET FUTUNA","Wallis-et-Futuna","Wallis-et-Futuna","1985-01-01",""
"98601","0","ILES DU VENT","Îles du Vent","Îles du Vent","1943-01-01","1972-05-21"
"98602","0","ILES SOUS LE VENT","Îles Sous-le-Vent","Îles Sous-le-Vent","1943-01-01","1972-05-21"
"98603","0","ARCHIPEL DES GAMBIER","Archipel des Gambier","Archipel des Gambier","1943-01-01","1972-05-21"
"98604","0","ILES AUSTRALES","Îles Australes","Îles Australes","1943-01-01","1972-05-21"
"98605","0","ARCHIPEL TUAMOTU","Archipel Tuamotu","Archipel Tuamotu","1943-01-01","1972-05-21"
"98606","0","ARCHIPEL DES MARQUISES","Archipel des Marquises","Archipel des Marquises","1943-01-01","1972-05-21"
"98607","0","NOUVELLE CALEDONIE","Nouvelle-Calédonie","Nouvelle-Calédonie","1943-01-01","1969-03-30"
"98608","0","NOUVELLES HEBRIDES","Nouvelles-Hébrides","Nouvelles-Hébrides","1943-01-01","1980-07-30"
